Name,Phase,Status,Estimate,Priority,Type,Description,Depends On,Prompt Included
Install Cursor IDE,Phase 0: Setup,Not Started,15 min,High,Setup,"Download from cursor.com, sign up for Pro ($20/mo). This is your main coding tool.",,No
Install Node.js v18+,Phase 0: Setup,Not Started,10 min,High,Setup,"Download Mac installer from nodejs.org. Required for the project to run.",,No
Create GitHub account + repo,Phase 0: Setup,Not Started,10 min,High,Setup,"Create account at github.com. Create a new repository called 'tobu-wall-of-fame'. This stores all your code.",,No
Create Firebase project,Phase 0: Setup,Not Started,20 min,High,Setup,"Go to console.firebase.google.com. Create project 'tobu-wall-of-fame'. Enable Firestore database (start in test mode). Choose europe-west region.",,No
Create Meshy AI account,Phase 0: Setup,Not Started,5 min,Medium,Setup,"Sign up at meshy.ai. This generates 3D bull models from text prompts.",,No
Create Tripo AI account,Phase 0: Setup,Not Started,5 min,Medium,Setup,"Sign up at tripo3d.ai. Backup 3D generator.",,No
Create Luma AI account,Phase 0: Setup,Not Started,5 min,Medium,Setup,"Sign up at lumalabs.ai/genie. Backup 3D generator.",,No
Install Blender,Phase 0: Setup,Not Started,15 min,High,Setup,"Download from blender.org. Free 3D editor for cleaning up AI-generated models.",,No
Sign up on Vercel,Phase 0: Setup,Not Started,10 min,High,Setup,"Sign up at vercel.com. Connect your GitHub account. This hosts the live app.",,No
Scaffold project in Cursor,Phase 0: Setup,Not Started,30 min,High,Code,"Open Cursor, use Agent Mode to create React + Vite + TypeScript project with all dependencies. Create folder structure. Verify it renders a green plane in browser.",Install Cursor IDE; Install Node.js v18+,Yes
Create .cursorrules file,Phase 0: Setup,Not Started,10 min,High,Code,"Create the project rules file so Cursor understands the app's conventions, stack, and style.",Scaffold project in Cursor,Yes
Export WhatsApp group chat,Phase 1: WhatsApp Data,Not Started,10 min,High,Data,"Open the section WhatsApp group → Settings → More → Export Chat → Without media. Save the .txt file.",,No
Upload chat export to Claude,Phase 1: WhatsApp Data,Not Started,15 min,High,Data,"Upload the .txt file to claude.ai. Use the extraction prompt from the game plan to identify all Tobu poll winners.",Export WhatsApp group chat,Yes
Review and verify extracted data,Phase 1: WhatsApp Data,Not Started,2 hrs,High,Data,"Go through Claude's JSON output entry by entry. Verify winner names match the roster. Fix dates. Rewrite unclear stories. Check for missed polls.",Upload chat export to Claude,No
Save seed_data.json,Phase 1: WhatsApp Data,Not Started,10 min,Medium,Data,"Save the cleaned JSON as seed_data.json in /src/assets/. This seeds the farm with past winners.",Review and verify extracted data,No
Generate bull on Meshy AI,Phase 2: 3D Assets,Not Started,30 min,High,Art,"Use the bull generation prompt from the game plan. Download result as .glb. Try 3-5 prompt variations if first result isn't great.",,Yes
Generate bull on Tripo AI,Phase 2: 3D Assets,Not Started,30 min,High,Art,"Same prompt as Meshy. Download .glb. Compare results.",,Yes
Generate bull on Luma AI,Phase 2: 3D Assets,Not Started,30 min,High,Art,"Same prompt as Luma Genie. Download .glb. Compare all three results.",,Yes
Pick best bull model,Phase 2: 3D Assets,Not Started,15 min,High,Art,"Compare all three outputs side by side. Pick the most charming, toy-like one. If none are usable, buy a pre-made model from Sketchfab ($5-10).",Generate bull on Meshy AI; Generate bull on Tripo AI; Generate bull on Luma AI,No
Import bull into Blender,Phase 2: 3D Assets,Not Started,30 min,High,Art,"Open Blender. File → Import → glTF. Ask Claude to walk you through it step by step.",Pick best bull model; Install Blender,No
Check and reduce poly count,Phase 2: 3D Assets,Not Started,1 hr,High,Art,"In Blender: check face count (should be <500). If higher, apply Decimate modifier. Claude guides you through this.",Import bull into Blender,No
Fix geometry and artifacts,Phase 2: 3D Assets,Not Started,1-2 hrs,Medium,Art,"Remove floating vertices, fix holes, clean up any weird shapes the AI generated. Ask Claude for help on each issue.",Check and reduce poly count,No
